Ticker&Date,Title
ABIL20160816,1
ABIL20160826,1
ABIL20160901,1
ABIL20160906,1
ABIL20160913,1
ABIL20160920,1
ABIL20161110,1
ABIL20161115,2
ABIL20161121,1
ABIL20161122,1
ABIL20161220,1
ABIO20160809,2
ABIO20160818,3
ABIO20160913,1
ABIO20161004,1
ABIO20161005,1
ABIO20161006,3
ABIO20161114,4
ABIO20161115,1
ABIO20161123,1
ABIO20170104,1
ABIO20170105,2
ABM20161213,3
ABM20161214,4
ABM20161215,2
ABM20161216,1
ABM20161220,4
ABM20161221,1
ABM20161223,1
ABM20161226,2
ABM20161227,1
ABM20161230,1
ABMD20161103,1
ABMD20161104,1
ABMD20161108,1
ABMD20161110,2
ABMD20161111,1
ABMD20161117,1
ABMD20161123,1
ABMD20161127,1
ABMD20161207,3
ABMD20161208,2
ABMD20161209,1
ABMD20161221,1
ABMD20161227,1
ABMD20170105,3
ABN.V20160816,1
ABN.V20160907,2
ABN.V20161005,2
ABN.V20161011,2
ABN.V20161021,2
ABN.V20161101,2
ABN.V20161102,1
ABN.V20161110,3
ABN.V20161213,2
ABN.V20170105,3
ABR.V20160114,1
ABR.V20160201,1
ABR.V20160418,4
ABR.V20160601,1
ABR.V20160608,1
ABR.V20160622,1
ABR.V20160630,1
ABR.V20160711,1
ABR.V20160901,1
ABR.V20161018,2
ABR.V20161109,1
ABR20161103,2
ABR20161104,2
ABR20161109,7
ABR20161115,1
ABR20161116,1
ABR20161117,1
ABR20161122,1
ABR20161128,2
ABR20161209,1
ABR20161213,1
ABR20161214,1
ABRN20151129,1
ABRN20160204,1
ABRN20160830,1
ABRN20160902,1
ABRN20160928,1
ABRN20161103,1
ABRN20161213,1
ABT.TO20160824,1
ABT.TO20160831,1
ABT.TO20160913,2
ABT.TO20160921,2
ABT.TO20160930,1
ABT.TO20161020,2
ABT.TO20161024,1
ABT.TO20161025,1
ABT.TO20161102,1
ABT.TO20161107,3
ABT.TO20161128,1
ABT.TO20161205,2
ABT.TO20161214,1
ABT.TO20161219,1
ABT20161229,1
ABT20161230,3
ABT20161231,1
ABT20170101,2
ABT20170102,2
ABT20170103,5
ABT20170104,3
ABT20170105,3
ABTL20161117,1
ABTL20161121,1
ABTL20161122,1
ABTL20161128,1
ABTL20161130,1
ABTL20161201,1
ABTL20161202,2
ABTL20161205,1
ABTL20161214,1
ABTL20161220,4
ABTL20161221,1
ABTL20161228,1
ABTL20170103,2
ABTL20170106,2
ABTX20161013,1
ABTX20161025,5
ABTX20161027,1
ABTX20161028,1
ABTX20161031,1
ABTX20161110,2
ABTX20161111,1
ABTX20161115,1
ABTX20161118,1
ABTX20161206,3
ABTX20161212,1
ABTX20161213,1
ABTX20161230,1
ABUS20161212,2
ABUS20161213,1
ABUS20161214,1
ABUS20161215,1
ABUS20161219,2
ABUS20161221,2
ABUS20161222,1
ABUS20161223,1
ABUS20161227,1
ABUS20161228,1
ABUS20161229,2
ABUS20161230,2
ABUS20170105,2
ABUS20170106,1
ABX.TO20161223,2
ABX.TO20161227,1
ABX.TO20161228,1
ABX.TO20161229,4
ABX.TO20161230,4
ABX.TO20170102,1
ABX.TO20170103,4
ABX.TO20170105,2
ABX.TO20170106,1
ABX20161223,1
ABX20161227,1
ABX20161228,1
ABX20161229,4
ABX20161230,4
ABX20170102,1
ABX20170103,3
ABX20170104,1
ABX20170105,2
ABX20170106,2
ABY20160912,1
ABY20161025,3
ABY20161031,1
ABY20161108,1
ABY20161111,1
ABY20161114,4
ABY20161115,1
ABY20161116,1
ABY20161123,1
ABY20161201,1
ABY20161205,1
ABY20161206,2
ABY20161209,1
ABY20161215,1
AC.TO20161206,2
AC.TO20161207,3
AC.TO20161208,2
AC.TO20161214,1
AC.TO20161215,1
AC.TO20161217,1
AC.TO20161220,2
AC.TO20161222,4
AC.TO20170103,2
AC.TO20170105,1
AC.TO20170106,1
AC20161114,2
AC20161117,2
AC20161123,1
AC20161201,1
AC20161206,1
AC20161207,1
AC20161211,1
AC20161217,1
AC20161220,2
AC20161222,3
AC20161228,1
AC20170103,1
AC20170104,2
AC20170106,1
ACAD20161220,7
ACAD20161221,2
ACAD20161224,1
ACAD20161227,1
ACAD20161228,1
ACAD20170103,1
ACAD20170104,3
ACAD20170105,3
ACAD20170106,1
ACAS20161118,1
ACAS20161121,1
ACAS20161126,1
ACAS20161201,1
ACAS20161207,1
ACAS20161215,2
ACAS20161216,2
ACAS20161219,3
ACAS20170103,1
ACAS20170104,6
ACAS20170105,1
ACBI20160812,1
ACBI20160919,1
ACBI20161003,1
ACBI20161018,1
ACBI20161028,4
ACBI20161031,1
ACBI20161103,2
ACBI20161110,2
ACBI20161118,1
ACBI20161209,2
ACBI20161213,1
ACBI20161221,1
ACBI20170103,1
ACBI20170104,1
ACC.TO20150902,2
ACC20161024,1
ACC20161025,2
ACC20161027,1
ACC20161028,1
ACC20161103,2
ACC20161104,1
ACC20161105,1
ACC20161109,1
ACC20161110,1
ACC20161115,1
ACC20161116,1
ACC20161117,1
ACC20161118,1
ACC20161201,1
ACC20161202,1
ACC20161214,2
ACC20161220,1
ACCO20161128,2
ACCO20161129,1
ACCO20161201,1
ACCO20161207,1
ACCO20161208,5
ACCO20161212,1
ACCO20161216,1
ACCO20161219,1
ACCO20161220,1
ACCO20161222,2
ACCO20161223,1
ACCO20161229,1
ACCO20170105,2
ACD.TO20160127,1
ACD.TO20160217,1
ACD.TO20160404,1
ACD.TO20160418,2
ACD.TO20160504,2
ACD.TO20160505,1
ACD.TO20160506,1
ACD.TO20160513,1
ACD.TO20160727,1
ACD.TO20160802,1
ACD.TO20160812,1
ACD.TO20160823,1
ACD.TO20160930,1
ACD.TO20161101,1
ACD.TO20161102,1
ACD.TO20161201,1
ACD.TO20161206,1
ACD.TO20161215,1
ACE20160610,1
ACE20160620,1
ACE20160623,1
ACE20160701,1
ACE20160725,2
ACE20160809,1
ACE20160829,1
ACE20160905,1
ACE20161020,1
ACE20161026,1
ACE20161031,2
ACE20161102,2
ACE20161103,1
ACE20161107,1
ACE20161109,1
ACE20161130,1
ACE20170106,1
ACET20161114,3
ACET20161115,1
ACET20161117,2
ACET20161121,1
ACET20161128,1
ACET20161201,1
ACET20161202,2
ACET20161212,1
ACET20161215,2
ACET20161219,1
ACET20161220,2
ACET20161221,3
ACFC20160527,1
ACFC20160615,1
ACFC20160727,3
ACFC20160811,1
ACFC20160815,1
ACFC20160825,1
ACFC20160908,1
ACFC20160909,1
ACFC20161020,1
ACFC20161026,3
ACFC20161028,1
ACFC20161031,1
ACFC20161114,1
ACFC20161118,1
ACFC20161221,1
ACFC20170103,1
ACFN20160607,1
ACFN20160712,2
