"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AES","The AES Corporation","12.84","9029145459","n/a","n/a","Basic Industries","Electric Utilities: Central","http://www.nasdaq.com/symbol/aes",
"AES^C","The AES Corporation","51.15","0","n/a","n/a","Basic Industries","Electric Utilities: Central","http://www.nasdaq.com/symbol/aes^c",
"TC","Thompson Creek Metals Company Inc.","1.45","310872902.25","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/tc",
"TLR","Timberline Resources Corporation","0.6703","6636026.3052","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/tlr",
"TMST","Timken Steel Corporation","26.7","1194168473.7","n/a","2014","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/tmst",
"TGD","Timmons Gold Corp","0.71","127712939.09","n/a","2011","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/tgd",
"TWI","Titan International, Inc.","9.29","499458418.64","n/a","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/twi",
"TORM          ","TOR Minerals International Inc","6.1539","18547989.9858","n/a","1988","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/torm          ",
"TRR","TRC Companies, Inc.","8.43","255874702.53","n/a","n/a","Basic Industries","Environmental Services","http://www.nasdaq.com/symbol/trr",
"TREX","Trex Company, Inc.","54.55","1749984401.7","n/a","n/a","Basic Industries","Forest Products","http://www.nasdaq.com/symbol/trex",
"TSE","Trinseo S.A.","20.25","987583731.75","n/a","2014","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/tse",
"TROX","Tronox Limited","20.3","2340274497.4","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/trox",
"TRQ","Turquoise Hill Resources Ltd.","3.24","6519881221.56","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/trq",
