Ticker, BandWidth, BoilUpper, close, BoilLower, BoilPercent,divergence,signal,macd,divergence%,rsi,sma60,sma20,sma5,mfi,stochK,stochD,lastTradeDate
PERY,2.579,25.328,22.98,22.749,0.0895696006204,-0.172,-0.075,-0.247,-0.00748476936466,40.008,23.909,24.039,23.198,33.703,22.26,12.764,1443101400
CRK,2.008,3.79,2.35,1.782,0.282868525896,-0.108,0.032,-0.076,-0.0459574468085,47.369,2.239,2.786,2.216,35.456,26.364,9.238,1443101400
LAKE,8.911,15.412,14.7,6.501,0.920098754349,0.569,0.703,1.271,0.0387074829932,71.028,10.473,10.957,14.458,79.74,84.746,84.594,1443101400
AMDA,0.1451,0.5035,0.366,0.3584,0.052377670572,-0.0018,-0.0255,-0.0273,-0.00491803278689,34.1574,0.5025,0.431,0.4006,29.2269,31.4917,41.8048,1443101400
CSIQ,3.012,20.217,17.18,17.205,-0.00830013280212,0.057,-1.018,-0.96,0.00331781140861,34.675,22.622,18.711,18.134,45.456,21.503,13.19,1443101400
REXX,1.453,3.441,2.17,1.988,0.125258086717,-0.043,-0.162,-0.205,-0.0198156682028,35.349,2.945,2.715,2.32,20.432,11.321,5.281,1443101400
HART,0.6282,1.4971,0.889,0.8689,0.0319961795606,-0.0391,0.0276,-0.0114,-0.0439820022497,39.7941,1.1484,1.183,1.051,43.4612,12.9117,7.424,1443101400
PLPM,0.233,3.073,2.89,2.84,0.214592274678,-0.026,0.051,0.025,-0.00899653979239,47.97,2.723,2.957,2.908,71.456,38.889,36.111,1443101400
JACK,6.619,81.491,78.7,74.872,0.578335095936,0.481,-2.353,-1.872,0.00611181702668,46.102,85.797,78.182,77.2,34.514,67.622,63.744,1443101400
FRGI,5.799,53.489,47.32,47.69,-0.0638041041559,-0.365,-0.776,-1.141,-0.00771344040575,29.447,51.906,50.59,48.38,13.849,7.337,7.753,1443101400
STXS,0.9904,1.6902,1.07,0.6998,0.373788368336,-0.0077,-0.0306,-0.0383,-0.00719626168224,48.9065,1.2027,1.195,1.02,32.6085,38.8889,19.0427,1443101400
ARIA,2.918,9.431,7.04,6.513,0.180603152844,-0.11,0.015,-0.095,-0.015625,40.718,7.807,7.972,7.426,48.835,16.783,13.646,1443101400
DHT,1.179,8.113,7.7,6.934,0.649703138253,0.051,0.058,0.109,0.00662337662338,52.998,7.731,7.524,7.866,45.281,45.556,60.339,1443101400
HABT,3.774,26.936,23.2,23.162,0.0100688924218,-0.144,-0.554,-0.697,-0.00620689655172,39.505,27.136,25.049,23.878,29.398,11.25,13.75,1443101400
PDCE,7.782,59.647,53.98,51.865,0.271781033153,-0.592,1.285,0.693,-0.010967024824,48.491,51.185,55.756,54.238,39.641,19.894,11.912,1443101400
TTS,1.931,13.537,12.96,11.606,0.701191092698,0.107,-0.08,0.027,0.00825617283951,51.241,13.305,12.572,13.062,57.711,64.835,65.385,1443101400
MW,18.699,59.603,43.74,40.904,0.151665864485,-0.439,-2.886,-3.325,-0.0100365797897,20.894,56.244,50.254,44.82,12.938,4.358,3.523,1443101400
KND,2.134,20.648,18.42,18.514,-0.0440487347704,-0.078,-0.438,-0.516,-0.0042345276873,27.369,20.486,19.581,18.898,24.519,15.075,14.455,1443101400
LOCO,1.955,13.412,11.2,11.457,-0.131457800512,0.106,-1.003,-0.897,0.00946428571429,26.92,15.955,12.435,11.878,24.831,8.247,9.785,1443101400
XEC,10.284,111.566,102.46,101.282,0.114546868923,-0.505,-0.794,-1.299,-0.00492875268397,42.609,106.914,106.424,103.114,39.318,20.092,13.471,1443101400
CRZO,5.883,37.245,32.23,31.362,0.147543770185,-0.012,-0.622,-0.634,-0.000372323921812,42.876,36.64,34.304,33.308,42.815,20.746,24.973,1443101400
WVFC,0.237,11.015,11.0,10.778,0.936708860759,0.021,-0.06,-0.039,0.00190909090909,52.665,11.127,10.897,10.898,45.333,100.0,59.42,1443101400
ADES,2.954,9.148,7.25,6.194,0.357481381178,0.128,-0.782,-0.654,0.0176551724138,35.172,10.026,7.671,7.4,38.513,66.443,62.226,1443101400
CRH.TO,0.611,5.208,4.76,4.597,0.266775777414,-0.023,0.038,0.015,-0.00483193277311,48.583,4.853,4.903,4.778,39.995,19.178,20.282,1443101400
HT,2.191,25.126,23.01,22.935,0.0342309447741,-0.045,-0.503,-0.548,-0.0019556714472,37.004,25.701,24.031,23.222,39.818,4.52,9.056,1443101400
NOV,6.459,42.727,36.92,36.268,0.100944418641,-0.192,-0.739,-0.93,-0.00520043336945,35.084,41.15,39.498,37.372,19.147,12.848,11.522,1443101400
OII,4.434,43.575,39.83,39.141,0.155390166892,-0.103,-0.182,-0.285,-0.00258599045945,43.788,41.603,41.358,40.394,46.805,8.571,17.46,1443101400
TREE,24.665,120.736,103.05,96.071,0.28295155078,-0.18,1.722,1.542,-0.00174672489083,42.406,101.716,108.404,113.526,45.919,9.696,57.253,1443101400
JRJC,0.742,4.039,3.71,3.297,0.556603773585,0.052,-0.119,-0.067,0.0140161725067,45.086,4.256,3.668,3.794,68.458,46.591,50.758,1443101400
TEX,7.043,24.288,16.83,17.245,-0.0589237540821,-0.395,-0.879,-1.274,-0.0234699940582,22.761,22.102,20.767,18.252,24.445,3.399,3.004,1443101400
ZOES,6.496,37.916,39.53,31.42,1.24846059113,0.797,-1.146,-0.349,0.0201619023526,64.757,39.009,34.668,36.374,71.215,97.97,84.06,1443101400
ACQ.TO,3.386,29.317,26.34,25.931,0.120791494389,0.146,-0.913,-0.767,0.00554290053151,38.084,31.554,27.624,27.122,32.015,22.321,21.763,1443101400
GHL,5.388,35.678,30.76,30.29,0.0872308834447,0.001,-1.516,-1.515,3.25097529259e-05,23.568,37.206,32.984,31.42,34.105,3.786,8.994,1443101400
OVAS,4.884,20.428,18.05,15.544,0.513104013104,0.44,-1.593,-1.154,0.0243767313019,41.226,23.756,17.986,18.472,60.448,54.364,61.18,1443101400
HASI,0.821,19.242,18.36,18.421,-0.074299634592,-0.006,-0.141,-0.147,-0.000326797385621,38.55,19.514,18.831,18.7,41.185,4.762,17.708,1443101400
RKN.TO,0.369,3.9,3.71,3.531,0.485094850949,0.034,-0.098,-0.064,0.00916442048518,45.35,4.198,3.716,3.758,60.425,60.976,64.739,1443101400
MHR,0.57,0.916,0.43,0.346,0.147368421053,-0.001,-0.131,-0.132,-0.00232558139535,30.691,0.961,0.631,0.468,22.149,2.857,5.666,1443101400
NILE,1.518,34.316,33.78,32.798,0.646903820817,-0.064,0.196,0.132,-0.00189461219657,54.215,32.51,33.557,33.476,43.221,59.606,35.304,1443101400
ELNK,0.902,8.92,8.22,8.018,0.223946784922,-0.062,0.031,-0.031,-0.00754257907543,45.076,8.194,8.469,8.23,59.109,21.053,23.86,1443101400
HEES,4.211,21.36,16.86,17.149,-0.0686297791498,-0.388,0.441,0.053,-0.0230130486358,38.275,17.631,19.255,18.078,37.193,13.227,6.577,1443101400
SAIA,6.79,38.92,31.21,32.13,-0.135493372607,-0.363,-1.259,-1.622,-0.011630887536,22.544,38.626,35.525,32.954,42.618,2.044,4.523,1443101400
CAM,4.221,66.942,63.76,62.721,0.246150201374,-0.648,3.142,2.494,-0.0101631116688,58.857,54.714,64.831,63.728,38.32,25.0,18.485,1443101400
ZGNX,4.741,21.334,17.09,16.593,0.104830204598,-0.356,0.148,-0.208,-0.0208308952604,40.889,18.347,18.964,17.752,31.369,19.756,11.365,1443101400
SWHC,2.602,19.436,17.64,16.834,0.309761721752,-0.174,0.348,0.174,-0.00986394557823,49.137,16.97,18.135,17.53,44.419,23.301,17.961,1443101400
MXC,1.451,3.568,2.731,2.117,0.423156443832,0.009,-0.072,-0.062,0.00329549615525,49.15,2.926,2.842,2.765,27.432,54.148,47.699,1443101400
POWI,4.507,42.885,40.75,38.378,0.526292433992,0.001,0.511,0.512,2.45398773006e-05,51.544,39.966,40.632,41.312,56.32,35.647,45.453,1443101400
XOMA,0.1498,0.9009,0.93,0.7511,1.19425901202,0.0643,-0.1788,-0.1145,0.0691397849462,49.6387,1.6317,0.826,0.84,51.4869,94.1177,70.2615,1443101400
KYTH,0.348,74.972,74.97,74.624,0.994252873563,0.016,0.048,0.064,0.000213418700814,61.81,74.674,74.798,74.908,71.039,100.0,85.898,1443101400
ANIK,3.324,36.872,33.43,33.548,-0.0354993983153,-0.273,-0.077,-0.35,-0.00816631767873,36.743,35.06,35.21,33.95,37.392,20.595,11.663,1443101400
CRNT,0.472,1.777,1.6,1.305,0.625,-0.002,0.086,0.083,-0.00125,58.06,1.336,1.541,1.636,65.615,65.854,74.797,1443101400
SPLK,6.416,62.933,57.86,56.517,0.209320448878,0.174,-2.03,-1.855,0.0030072589008,38.474,65.997,59.725,58.43,21.625,28.265,34.566,1443101400
PRCP,2.072,10.989,8.5,8.917,-0.201254826255,-0.187,-0.09,-0.276,-0.022,24.071,9.941,9.953,9.222,28.107,5.936,6.728,1443101400
