,MFI,timestamp
HSIC,53.528,1434398340
ABAX,50.143,1434398340
CMRX,50.113,1434398340
WAVX,13.076,1434398340
RPXC,46.623,1434398340
WRE,51.046,1434398340
SCON,29.58,1434398340
GTU,29.634,1434398340
OSIS,46.786,1434398340
SPB,53.889,1434398340
LDL,50.538,1434398340
USAT,55.006,1434398340
AKAM,42.424,1434398340
FB,51.988,1434398340
UVV,51.158,1434398340
BERY,49.692,1434398340
RLYP,55.536,1434398340
ECTE,,1434398340
AHI.V,,1434398340
PRAA,55.034,1434398340
SREV,58.853,1434398340
KIM,49.139,1434398340
FCS,57.393,1434398340
MZI.V,39.99,1434398340
HCLP,69.834,1434398340
AZPN,52.045,1434398340
SNAK,61.184,1434398340
MTRN,54.849,1434398340
DF,66.751,1434398340
POOL,59.051,1434398340
LGND,51.217,1434398340
PLXS,49.68,1434398340
IG,52.701,1434398340
EXC,52.791,1434398340
ALB,45.244,1434398340
HRL,57.686,1434398340
CUR,66.438,1434398340
DRNA,46.995,1434398340
SGEN,47.499,1434398340
CACI,53.547,1434398340
PVH,47.246,1434398340
MJN,55.437,1434398340
AMS,,1434398340
SSNI,49.296,1434398340
OC,60.536,1434398340
TTPH,50.639,1434398340
BRCD,54.71,1434398340
ANFI,37.083,1434398340
TBI,54.486,1434398340
BDBD,64.91,1434398340
GWGH,87.739,1434398340
HNNA,22.426,1434398340
BTU,44.12,1434398340
AES,47.129,1434398340
SCTY,49.505,1434398340
CE,53.34,1434398340
SANW,36.716,1434398340
ECHO,52.6,1434398340
LHO,27.048,1434398340
MPO,49.004,1434398340
RBC,51.313,1434398340
CRUS,57.352,1434398340
GALT,47.319,1434398340
PBPB,41.255,1434398340
ATU,55.05,1434398340
AYR,53.323,1434398340
NOG,61.158,1434398340
STRZA,53.775,1434398340
LABL,55.215,1434398340
THOR,42.655,1434398340
MPWR,52.188,1434398340
LBY,36.854,1434398340
MHO,50.684,1434398340
SNOW,31.534,1434398340
GMCR,49.435,1434398340
SVT,,1434398340
EYES,51.426,1434398340
TDG,53.002,1434398340
BSPM,,1434398340
DXM,47.0256,1434398340
IQ.V,,1434398340
MON,36.179,1434398340
SANM,52.936,1434398340
SAH,50.216,1434398340
PCTY,53.426,1434398340
NVR,33.977,1434398340
SSRG,63.889,1434398340
WETF,48.499,1434398340
HRS,53.456,1434398340
ACIW,56.83,1434398340
LSTR,58.959,1434398340
EZPW,42.541,1434398340
NVA.TO,37.015,1434398340
HCOM,52.526,1434398340
ATEN,58.382,1434398340
AMT,39.631,1434398340
CADC,,1434398340
HWKN,53.777,1434398340
GV,,1434398340
MG,62.652,1434398340
FFIV,51.697,1434398340
OFC,52.36,1434398340
ALGN,49.042,1434398340
IMKTA,44.037,1434398340
RYN,46.435,1434398340
AKR,60.037,1434398340
LGIH,33.387,1434398340
HAWK,56.581,1434398340
SWFT,42.523,1434398340
ROK,55.736,1434398340
SEMG,53.187,1434398340
ONB,61.067,1434398340
TFX,65.213,1434398340
RIG,53.265,1434398340
TSCO,57.84,1434398340
DOT.V,,1434398340
LVLT,50.96,1434398340
ANAC,48.909,1434398340
VSAR,41.913,1434398340
FFIN,64.897,1434398340
EXPO,45.67,1434398340
SUI,64.965,1434398340
CFNL,47.639,1434398340
MPAA,41.935,1434398340
SBY,45.862,1434398340
CTRN,43.888,1434398340
DMD,49.008,1434398340
STJ,55.431,1434398340
BKE,59.701,1434398340
BEA.V,,1434398340
HBAN,50.626,1434398340
ZQK,42.7454,1434398340
WLRH,79.099,1434398340
KFY,47.283,1434398340
THG,55.529,1434398340
WAIR,56.509,1434398340
CCF,38.841,1434398340
IDT,50.482,1434398340
ECR,41.315,1434398340
AEGR,44.302,1434398340
ROST,60.036,1434398340
ABT.TO,,1434398340
PNFP,47.432,1434398340
MDU,52.833,1434398340
MTX,52.363,1434398340
SPHS,23.691,1434398340
UA,43.994,1434398340
GTIM,36.679,1434398340
DANG,38.603,1434398340
RGLS,57.896,1434398340
CMCSA,55.814,1434398340
BRE.TO,,1434398340
AEIS,50.43,1434398340
PCH,43.636,1434398340
SHLM,46.799,1434398340
BDL,60.574,1434398340
URBN,48.463,1434398340
EBAY,52.561,1434398340
MET,54.348,1434398340
QSII,51.172,1434398340
SHPG,46.26,1434398340
SGI,53.786,1434398340
OPWR,45.331,1434398340
NFG,53.964,1434398340
NXTM,46.114,1434398340
LMNS,46.528,1434398340
MIG,72.407,1434398340
PSTI,50.307,1434398340
ZA,66.063,1434398340
NM,58.338,1434398340
XRAY,46.363,1434398340
BEE,56.453,1434398340
FLY,55.67,1434398340
MTG,58.971,1434398340
B,54.704,1434398340
ALDR,56.589,1434398340
MKSI,41.474,1434398340
CFW.TO,28.199,1434398340
PGX.V,,1434398340
CLH,52.442,1434398340
ASB,50.278,1434398340
SSD,51.094,1434398340
LMNR,32.063,1434398340
TBPH,44.179,1434398340
WSO,61.176,1434398340
DV,46.615,1434398340
PLT,48.923,1434398340
STBA,59.651,1434398340
PETX,55.355,1434398340
ZION,60.919,1434398340
SHOS,65.952,1434398340
NICE,48.189,1434398340
DNR,54.892,1434398340
SPPI,56.853,1434398340
TXTR,47.314,1434398340
ACM,58.949,1434398340
CRL,47.456,1434398340
CRAY,44.809,1434398340
SLAB,51.373,1434398340
HBOS,54.009,1434398340
ODFL,51.459,1434398340
PHH,44.241,1434398340
GNC,49.596,1434398340
ESCRP,,1434398340
PEI,44.066,1434398340
RCII,54.59,1434398340
CSWC,55.191,1434398340
BHT.V,,1434398340
EQIX,37.856,1434398340
DTSI,46.006,1434398340
PKD,58.299,1434398340
PBFX,47.482,1434398340
ARE,44.499,1434398340
BLL,63.243,1434398340
PACW,38.265,1434398340
ONVO,51.984,1434398340
LUV,41.243,1434398340
FNGN,62.63,1434398340
EBS,66.648,1434398340
NVAX,41.996,1434398340
PBT,43.905,1434398340
ESP,77.233,1434398340
PLUG,49.619,1434398340
ANW,35.467,1434398340
N,59.962,1434398340
VMI,49.251,1434398340
AR,52.453,1434398340
THRX,57.943,1434398340
FDO,46.485,1434398340
CMN,54.48,1434398340
NTAP,61.543,1434398340
YELP,51.35,1434398340
ECPG,49.502,1434398340
MDT,59.554,1434398340
PAYC,58.893,1434398340
SKX,49.832,1434398340
WBS,57.034,1434398340
BBRY,49.748,1434398340
KTEC,100.0,1434398340
NERV,45.969,1434398340
MHH,75.153,1434398340
HMST,49.445,1434398340
EIG,52.966,1434398340
AIG,54.121,1434398340
CBI,57.802,1434398340
WIRE,54.49,1434398340
RF,49.564,1434398340
BRG,34.837,1434398340
BOH,53.564,1434398340
LMT,48.308,1434398340
UIL,66.434,1434398340
SBS,48.369,1434398340
NPBC,53.648,1434398340
DFT,53.202,1434398340
ATSG,50.026,1434398340
JOUT,59.256,1434398340
SIBC,,1434398340
GM,47.902,1434398340
SLB,51.342,1434398340
SKY,60.689,1434398340
HSP,62.113,1434398340
WU,43.353,1434398340
MEET,62.537,1434398340
SRCE,41.997,1434398340
EGO,65.427,1434398340
CPHI,31.6756,1434398340
QLYS,56.672,1434398340
ZNGA,51.206,1434398340
MDXG,45.044,1434398340
GPRE,56.495,1434398340
BLUE,51.448,1434398340
BECN,59.86,1434398340
MOH,48.916,1434398340
WMB,57.28,1434398340
OLED,46.841,1434398340
TRN,48.212,1434398340
HIIQ,68.794,1434398340
DG,54.9,1434398340
GLUU,49.076,1434398340
BANR,51.71,1434398340
AHL,60.14,1434398340
XPO,51.771,1434398340
RZ.V,,1434398340
RBA,45.458,1434398340
MENT,50.411,1434398340
BCPC,48.876,1434398340
TUES,55.605,1434398340
CVM,16.1495,1434398340
IIIN,57.088,1434398340
XEL,49.789,1434398340
WRLD,48.191,1434398340
ALXN,54.405,1434398340
PRW.TO,,1434398340
NURO,54.535,1434398340
RTGN,53.04,1434398340
AGCO,57.064,1434398340
OCUL,47.341,1434398340
BURL,61.535,1434398340
KONA,50.357,1434398340
BPFH,55.014,1434398340
HGR,52.352,1434398340
AXP,48.038,1434398340
CHOP,,1434398340
PRXI,,1434398340
IOT,,1434398340
IRDM,50.052,1434398340
IACI,51.478,1434398340
ACTG,40.496,1434398340
IBKC,61.729,1434398340
CYTR,50.884,1434398340
CVEO,47.938,1434398340
PRXL,43.732,1434398340
INN,42.986,1434398340
WWAV,55.658,1434398340
EAT,54.874,1434398340
LAZ,48.914,1434398340
SPNC,44.002,1434398340
PWR,54.061,1434398340
PRTA,59.132,1434398340
SGMO,45.164,1434398340
RRGB,47.403,1434398340
ENZN,46.799,1434398340
FULT,33.794,1434398340
CDR,57.81,1434398340
NEWT,63.384,1434398340
NE,60.597,1434398340
UHS,51.821,1434398340
ATR,60.679,1434398340
TISI,33.381,1434398340
MMT.TO,100.0,1434398340
RS,45.067,1434398340
MMS,48.008,1434398340
PKG,56.595,1434398340
DY,54.924,1434398340
VFC,54.41,1434398340
MCGC,73.886,1434398340
APOG,33.82,1434398340
SGBK,39.309,1434398340
YCM-PB.TO,,1434398340
JWN,51.041,1434398340
URI,49.815,1434398340
LRCX,61.99,1434398340
ATVI,43.875,1434398340
CSGS,47.259,1434398340
BCLI,,1434398340
DYN,52.043,1434398340
ESI,53.123,1434398340
QLGC,37.581,1434398340
THS,34.502,1434398340
ARCP,43.695,1434398340
EOG,54.993,1434398340
SCU.TO,,1434398340
VSI,50.414,1434398340
RSTI,52.081,1434398340
INWK,63.447,1434398340
OREX,47.377,1434398340
PCAR,49.741,1434398340
EGN,40.666,1434398340
TPC,43.379,1434398340
CMCO,68.19,1434398340
BKD,55.717,1434398340
WABC,55.73,1434398340
BGG,62.493,1434398340
CDK,48.388,1434398340
DAVE,54.083,1434398340
PDS,54.981,1434398340
CGE.V,,1434398340
PAYX,44.174,1434398340
MSFT,52.633,1434398340
RKT,42.362,1434398340
ALTV,60.198,1434398340
FPRX,57.285,1434398340
PAH,47.854,1434398340
MLM,49.657,1434398340
BPOP,42.33,1434398340
IVZ,60.741,1434398340
SWKS,62.378,1434398340
SNCR,47.886,1434398340
EDR,42.987,1434398340
IVC,53.422,1434398340
USCR,47.948,1434398340
LPX,34.975,1434398340
ANH,71.793,1434398340
PSK.TO,40.797,1434398340
ARDX,39.874,1434398340
S.TO,66.338,1434398340
TWO,38.541,1434398340
CHNR,14.969,1434398340
DCOM,57.073,1434398340
TCBK,49.341,1434398340
CTO.V,,1434398340
TCBI,56.443,1434398340
SAL,,1434398340
KMX,49.167,1434398340
GERN,44.179,1434398340
JEC,48.16,1434398340
CKEC,63.763,1434398340
DRC,57.35,1434398340
P.TO,50.942,1434398340
HAS,48.326,1434398340
SAAS,55.554,1434398340
AIRM,64.284,1434398340
GTLS,55.066,1434398340
ZSPH,48.416,1434398340
FHN,39.755,1434398340
AAL,39.677,1434398340
ACRX,47.811,1434398340
IFON,26.048,1434398340
VHC,37.785,1434398340
MTSI,59.123,1434398340
HAIN,54.425,1434398340
PGNX,45.286,1434398340
HBHC,62.139,1434398340
ACT,,1434398340
CLI,53.4,1434398340
WIBC,49.359,1434398340
CHLN,,1434398340
CLCT,69.64,1434398340
DOX,46.912,1434398340
IDA,53.038,1434398340
VFX.V,,1434398340
TSRO,62.853,1434398340
JNPR,48.977,1434398340
FMD,65.191,1434398340
MT,57.047,1434398340
TEO,51.242,1434398340
HXL,57.335,1434398340
PX,43.829,1434398340
CHRW,59.978,1434398340
EMP-A.TO,29.513,1434398340
DEST,70.573,1434398340
FNF,49.669,1434398340
ESRT,48.438,1434398340
AWRE,,1434398340
AMCO,73.114,1434398340
PMC,48.172,1434398340
QLTY,53.801,1434398340
WRES,40.5821,1434398340
ABC,63.243,1434398340
JCI,47.922,1434398340
MPEL,49.278,1434398340
MRTN,36.513,1434398340
NOW,47.124,1434398340
MANT,52.9,1434398340
SMCI,45.704,1434398340
AMTG,48.106,1434398340
LLL,50.052,1434398340
PW,100.0,1434398340
ICPT,62.631,1434398340
NTRS,49.091,1434398340
HUSA,8.561,1434398340
UNFI,40.392,1434398340
FCFS,44.487,1434398340
MORE,36.036,1434398340
AGI.TO,53.562,1434398340
CPT,51.052,1434398340
WRB,60.143,1434398340
ADVS,37.969,1434398340
CNL,53.407,1434398340
WGO,41.61,1434398340
PLI.TO,33.798,1434398340
CCIH,30.79,1434398340
ASYS,52.098,1434398340
BCR,48.856,1434398340
SEE,45.163,1434398340
CCK,48.657,1434398340
AZZ,48.782,1434398340
SYRG,60.542,1434398340
FNFG,52.653,1434398340
MLF-UN.TO,,1434398340
ED,50.541,1434398340
MLHR,46.562,1434398340
UTI,43.518,1434398340
GIII,55.214,1434398340
MSTR,36.081,1434398340
