Ticker,neg,neu,pos,compound,Title,url
MDSO,0.032,0.833,0.135,0.9941,Shares of Medidata Solutions Inc. (NASDAQ:MDSO) Sees Large Inflow of Net Money Flow,http://www.americantradejournal.com/shares-of-medidata-solutions-inc-nasdaqmdso-sees-large-inflow-of-net-money-flow/6131528/
MDSO,0.019,0.833,0.149,0.9964,MDSO) has Adopted by Walvax Biotechnology Co.,http://www.streetreport.co/medidata-solutions-inc-nasdaqmdso-has-adopted-by-walvax-biotechnology-co/23661/
MDSO,0.041,0.87,0.088,0.9287,Company Shares of Medidata Solutions Inc. (NASDAQ:MDSO) Drops by -4.79%,http://newswatchinternational.com/news/company-shares-of-medidata-solutions-inc-nasdaqmdso-drops-by-4-79.html
MDSO,0.029,0.851,0.12,0.9858,Company Shares of Medidata Solutions Inc. (NASDAQ:MDSO) Drops by -2.41%,http://www.americantradejournal.com/company-shares-of-medidata-solutions-inc-nasdaqmdso-drops-by-2-41/698034/
SYRX,0.045,0.834,0.121,0.999,Sysorex: 3 Reasons To Love (Fear) This Company - Sysorex Global Holdings Corp. (NASDAQ:SYRX),http://seekingalpha.com/article/3227626-sysorex-3-reasons-to-love-fear-this-company?source=feed_symbol_syrx
SYRX,0.046,0.846,0.107,0.999,Be Careful Before You Jump Into Yet Another Rally In Sysorex - Sysorex Global Holdings Corp. (NASDAQ:SYRX),http://seekingalpha.com/article/3057526-be-careful-before-you-jump-into-yet-another-rally-in-sysorex?source=feed_symbol_syrx
SYRX,0.059,0.834,0.107,0.9119,Sysorex (SYRX) Stock Gains After $91 Million IT Contract,http://us.rd.yahoo.com/finance/external/tsmfe/rss/SIG=13b9l77sc/*http://www.thestreet.com/story/13314343/1/sysorex-syrx-stock-gains-after-signing-91-million-contract.html?puc=yahoo&amp;cm_ven=YAHOO
SYRX,0.005,0.909,0.086,0.9831,SYRX: Leveraging its New Technologies to Cross-Promote Services and Generate Synergies,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/syrx-leveraging-technologies-cross-promote-192500055.html
SYRX,0.0,0.913,0.087,0.8402,SYRX quotes & news  Google Finance,http://www.google.ca/finance?q=NASDAQ:SYRX&amp;amp;client=news-rss&amp;amp;ei=uKouVpmYH9e5jAHZ1rHgDA
SYRX,0.0,0.913,0.087,0.8402,SYRX quotes & news  Google Finance,http://www.google.ca/finance?q=NASDAQ:SYRX&amp;amp;client=news-rss&amp;amp;ei=uKouVpmYH9e5jAHZ1rHgDA
SYRX,0.0,0.902,0.098,0.9893,Abnormal Volume Spikes: Tantech Holdings Ltd (NASDAQ:TANH) Sysorex Global Holdings Corp (NASDAQ:SYRX) New York & Company Inc. (NYSE:NWY),http://www.wallstreetpoint.com/abnormal-volume-spikes-tantech-holdings-ltd-nasdaqtanh-sysorex-global-holdings-corp-nasdaqsyrx-new-york-company-inc-nysenwy/7216293/
SYRX,0.026,0.769,0.205,0.9726,Sysorex Global Holdings Corp. (SYRX) IPO Opens Flat,http://www.streetinsider.com/IPOs/Sysorex+Global+Holdings+Corp.+(SYRX)+IPO+Opens+Flat/9370466.html
SYRX,0.012,0.849,0.139,0.9914,Sysorex Global Holdings Corp (NASDAQ:SYRX): How Far So Far?,http://www.usmarketsdaily.com/sysorex-global-holdings-corp-nasdaqsyrx-how-far-so-far-7705
SYRX,0.007,0.922,0.071,0.9436,Sysorex Global Holdings Corp Earns Buy Rating from Analysts at B. Riley (SYRX),http://www.dakotafinancialnews.com/sysorex-global-holdings-corp-earns-buy-rating-from-analysts-at-b-riley-syrx/482731/
SYRX,0.015,0.872,0.113,0.9884,Active Watchful Movers- Sysorex Global Holdings Corp. (NASDAQ:SYRX) SunEdison Inc. (NYSE:SUNE) Advanced Micro Devices Inc. (NASDAQ:AMD),http://www.streetwisereport.com/active-watchful-movers-sysorex-global-holdings-corp-nasdaqsyrx-sunedison-inc-nysesune-advanced-micro-devices-inc-nasdaqamd/131556/
EXLS,0.0,0.902,0.098,0.8689,EXLS quotes & news  Google Finance,http://www.google.ca/finance?q=NASDAQ:EXLS&amp;amp;client=news-rss&amp;amp;ei=r6ouVonQHISH2Aah_6noDw
EXLS,0.0,0.902,0.098,0.8689,EXLS quotes & news  Google Finance,http://www.google.ca/finance?q=NASDAQ:EXLS&amp;amp;client=news-rss&amp;amp;ei=r6ouVonQHISH2Aah_6noDw
EXLS,0.017,0.883,0.1,0.9867,Exlservice Holdings Inc. (EXLS) Discloses Form 4 Insider Selling : Exec. Vishal Chhibbar Sells 4441 Shares,http://www.americantradejournal.com/exlservice-holdings-inc-exls-discloses-form-4-insider-selling-exec-vishal-chhibbar-sells-4441-shares/6132591/
