symbol,EPS,volume,averageDailyV,float,lastClose,open,lastTrade,lastTradeDate,50DayMA
"LTM",3,0,892736,N/A,72,N/A,72,"6/10/2015",72
"SSFN",0.70,1321,6206,4839000,8.15,8.43,8.35,"11/18/2016",7.89
"TOO",-0.51,313920,725795,84012000,5.58,5.60,5.46,"11/18/2016",6.03
"DNB",2.62,346195,219157,36224000,121.62,121.63,121.87,"11/18/2016",124.66
"ITM.V",-0.012,10000,249167,49003000,0.070,0.055,0.055,"11/18/2016",0.069
"PME",0.03,213117,81182,34656000,1.37,1.35,1.34,"11/18/2016",1.01
"RCAP",-7.6080,0,1557430,N/A,N/A,N/A,N/A,"2/1/2016",0.1379
"NIK.V",-0.00,50000,6990,11619000,0.05,0.07,0.10,"11/18/2016",0.07
"BG.V",-0.305,47500,121459,65668000,0.020,0.020,0.025,"11/18/2016",0.021
"HWCC",-0.14,48381,29197,15119000,5.25,5.25,5.15,"11/18/2016",5.71
"YUMA",-6.04,33982,14371,1309000,3.96,4.13,3.94,"11/18/2016",3.91
"PRKR",-1.86,228706,56060,11222000,2.70,2.70,2.86,"11/18/2016",3.73
"MWI-UN.V",0.24,750,N/A,N/A,0.49,0.49,0.49,"9/2/2016",0.00
"GME",3.79,1679016,2733360,101753000,23.46,23.37,23.46,"11/18/2016",24.27
"ECI.TO",0.60,500796,298367,102915000,17.68,17.64,17.83,"11/18/2016",19.01
"VIEW",0,0,21520,N/A,N/A,N/A,N/A,"4/23/2015",1
"DECK",3.48,730629,665289,31876000,62.53,62.43,61.37,"11/18/2016",56.74
"CVC",0.81,0,N/A,N/A,34.87,N/A,34.87,"6/20/2016",34.87
"ENTG",0.63,569061,519986,126639000,18.35,18.45,18.45,"11/18/2016",16.70
"INFU",0.19,40983,54177,10925000,1.80,1.80,1.80,"11/18/2016",2.42
"PSI.TO",-0.50,63788,206197,72963000,16.35,16.40,16.28,"11/18/2016",16.25
"VSYM.OB",-0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"JGT",N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,0
"TBL.TO",0.26,400,7158,12565000,0.92,0.92,0.92,"11/17/2016",0.98
"CSPI",0.7040,13531,29042,3019000,10.4500,10.5000,10.4116,"11/18/2016",10.5867
"ENTR",-1,0,1561160,N/A,N/A,N/A,N/A,"4/23/2015",3
"DRWI",-6.95,116779,683756,4512000,3.05,3.05,3.10,"11/18/2016",3.15
"CQP",-0.91,108284,306502,44714000,28.00,28.03,28.44,"11/18/2016",28.16
"VZ",3.43,12820589,13801000,4060409000,47.84,47.85,48.07,"11/18/2016",48.79
"RB.V",-0.004,40000,107461,58445000,0.080,0.075,0.075,"11/18/2016",0.079
"RRS.V",-0.635,10900,23198,N/A,0.325,0.330,0.365,"11/18/2016",0.396
"CAH-UN.TO",N/A,1300,N/A,N/A,8.02,8.03,8.05,"6/16/2016",0.00
"USLM",2.89,3487,3934,1993000,71.65,71.52,71.63,"11/18/2016",66.57
"FTP.TO",-1.02,9685,28292,10455000,6.75,6.77,6.82,"11/18/2016",6.62
"FPI",-0.17,226089,144926,12463000,11.67,11.67,11.85,"11/18/2016",10.68
"AXAS",-1.38,1078526,850598,124001000,1.79,1.80,1.84,"11/18/2016",1.70
"WHLRP",-0.48,644,9935,55453000,21.20,21.59,21.43,"11/18/2016",21.50
"IDXX",2.35,490275,476455,88473000,115.19,115.53,116.13,"11/18/2016",110.48
"SCX",-1.88,13564,7960,6310000,9.95,9.90,9.55,"11/18/2016",9.70
"DRRX",-0.25,317828,910532,124359000,1.40,1.41,1.39,"11/18/2016",1.26
"ONTY",-0.40,715197,1002310,N/A,1.21,1.19,1.21,"6/8/2016",1.18
"ATAX",0.36,73410,145611,59518000,5.65,5.65,5.60,"11/18/2016",5.76
"WSR",0.32,85984,164760,28117000,13.22,13.20,13.34,"11/18/2016",13.20
"ERD.TO",-0.13,46250,119425,96295000,0.41,0.39,0.39,"11/18/2016",0.45
"IAG.TO",3.75,191633,205311,102096000,55.63,55.80,55.87,"11/18/2016",50.99
"TD",3.33,891680,1342000,1800398000,46.49,46.45,46.85,"11/18/2016",44.95
"SBRAP",0.9460,1549,3811,63763000,25.4000,25.4700,25.1689,"11/18/2016",25.9081
"TSRI",0.21,7188,31500,892000,5.65,5.40,5.80,"11/18/2016",6.00
"PCL",1,0,1506990,N/A,N/A,N/A,N/A,N/A,41
"GRX",N/A,18489,39531,N/A,9.6900,9.7300,9.6403,"11/18/2016",9.9581
"PDI",N/A,177344,202142,N/A,27.64,27.68,27.45,"11/18/2016",28.30
"DTZ",N/A,72341,41392,N/A,25.04,25.00,24.98,"11/18/2016",25.52
"NTG",1.86,136696,110942,N/A,19.81,19.81,19.82,"11/18/2016",19.11
"MNE",0.6910,6983,8066,N/A,13.6811,13.8000,13.6265,"11/18/2016",14.6766
"CRF",0.40,95892,163745,N/A,14.63,14.72,14.61,"11/18/2016",14.46
"MHN",0.91,139729,61877,N/A,13.30,13.30,13.23,"11/18/2016",14.16
"EOT",-5.66,42303,49278,N/A,21.01,21.10,20.87,"11/18/2016",22.05
"LEO",0.61,182563,130214,N/A,8.28,8.26,8.24,"11/18/2016",8.85
"ST.TO",-0.00,1000,137369,216560000,0.02,0.02,0.02,"11/18/2016",0.02
"GBAB",N/A,119160,80643,N/A,20.91,20.92,20.66,"11/18/2016",22.07
"GSI",-56.09,0,69354,N/A,1.21,N/A,1.21,"7/18/2016",1.16
"MYM",2,0,20673,N/A,N/A,N/A,N/A,N/A,12
"CEQP",-22.89,450971,243495,46653000,22.05,22.25,22.50,"11/18/2016",20.60
"NXC",0.83,6570,7920,N/A,15.14,15.26,15.22,"11/18/2016",16.26
"NCQ",-0.12,0,121859,N/A,0.56,N/A,0.56,"9/7/2016",0.57
"MUJ",1.81,92396,59898,N/A,13.87,13.85,13.89,"11/18/2016",14.91
"KOR.TO",-0.08,35940,20429,68959000,0.63,0.66,0.69,"11/18/2016",0.82
"VKQ",0.77,167074,165191,N/A,12.30,12.31,12.18,"11/18/2016",12.99
