Ticker,Name,StockExchange,EPS,PE,ShortR,BookValue,Divdend,MktCap,AvgVol,YearHigh,YearLow,PreviousClose
CVM,Cel-Sci Corporation Common Stoc,ASE,-0.43200,None,2.78000,0.03500,None,53.83M,585298,1.23000,0.46000,0.48025
IIIN,Insteel Industries Inc.,NMS,1.15,21.23,4.71,10.84,0.12,450.94M,74998,25.19,14.61,24.42
XEL,Xcel Energy Inc. Common Stock,NYQ,1.92,18.68,3.96,20.79,1.28,18.16B,3557410,38.35,31.76,35.79
QLGC,QLogic Corporation,NMS,0.430,28.221,2.940,8.498,None,1.02B,1017880,15.930,8.370,12.135
THS,Treehouse Foods Inc. Common St,NYQ,2.556,32.588,7.490,42.210,None,3.59B,483189,92.920,69.010,83.295
ARCP,American Realty Capital Propert,NMS,-0.96,None,0.00,0.00,1.00,None,6371260,13.44,7.38,8.60
EOG,EOG Resources Inc. Common Stoc,NYQ,-6.9620,None,2.1000,24.1680,0.6700,45.35B,4793190,103.0400,68.1500,82.5013
SCU.TO,THE SECOND CUP LTD.,TOR,-0.14,None,11.05,1.86,0.00,37.85M,10675,4.45,2.35,2.95
VSI,Vitamin Shoppe Inc Common Stoc,NYQ,1.9750,14.9362,9.5800,19.6830,None,847.06M,400009,48.8500,26.5700,29.4989
RSTI,Rofin-Sinar Technologies Inc.,NMS,1.46,19.32,8.07,19.24,None,795.52M,132965,30.41,23.10,28.21
INWK,InnerWorkings Inc.,NMS,0.84,9.30,21.95,5.63,None,415.94M,137754,8.38,4.94,7.85
OREX,Orexigen Therapeutics Inc.,NMS,-0.40,None,9.47,0.32,None,349.06M,3365460,9.37,1.84,2.40
PCAR,PACCAR Inc.,NMS,4.64,11.11,6.49,20.77,0.96,18.23B,2651150,71.15,49.46,51.57
EGN,Energen Corporation Common Stoc,NYQ,-3.88,None,4.28,44.00,0.08,4.48B,1027520,77.12,43.75,56.81
USTR,United Stationers Inc.,NMS,2.41,None,0.00,0.00,0.56,None,179713,44.91,36.50,42.35
TPC,Tutor Perini Corporation Common,NYQ,1.30,13.55,8.46,28.87,0.00,863.18M,351451,26.71,14.95,17.59
CMCO,Columbus McKinnon Corporation,NMS,0.80,23.72,6.97,13.80,0.16,382.32M,82602,28.79,16.75,19.02
BKD,Brookdale Senior Living Inc. Co,NYQ,-2.12,None,1.78,14.22,0.00,4.18B,4035320,39.89,20.27,22.62
WABC,Westamerica Bancorporation,NMS,2.31,20.88,22.20,20.91,1.56,1.23B,147563,52.40,40.57,48.23
BGG,Briggs & Stratton Corporation C,NYQ,0.94,19.95,17.07,12.04,0.54,831.87M,457545,21.24,16.92,18.81
KNDI,Kandi Technologies Group Inc.,NMS,0.33,30.63,10.72,4.94,None,480.44M,577418,14.85,5.05,10.23
GST,Gastar Exploration Inc Common S,ASE,-3.71,None,12.90,0.50,None,100.18M,609618,4.35,1.00,1.25
CPE,Callon Petroleum Company Common,NYQ,-1.892,None,2.350,5.538,None,614.81M,2849990,9.650,4.090,9.275
JCP,J.C. Penney Company Inc. Holdi,NYQ,-1.65,None,7.84,5.06,0.00,2.36B,13859200,10.09,5.90,7.74
HP,Helmerich & Payne Inc. Common,NYQ,3.87,14.18,5.51,45.46,2.75,5.91B,2843170,84.12,46.16,54.86
JBLU,JetBlue Airways Corporation,NMS,1.6840,15.3626,2.7900,9.5760,None,8.15B,7816480,27.3600,13.0200,25.8707
EBIX,Ebix Inc.,NMS,2.0790,18.0615,37.8400,11.8440,0.3000,1.27B,356749,38.0400,15.6300,37.5499
AMBR,Amber Road Inc. Common Stock,NYQ,-0.88,None,16.84,1.92,None,97.67M,106131,12.28,3.42,3.72
MXL,MaxLinear Inc Class A Common S,NYQ,-0.76,None,2.87,4.30,None,1.02B,925106,17.41,6.62,16.64
CMGE,China Mobile Games and Entertai,NGM,1.30,None,0.00,0.00,0.14,None,453361,29.70,14.61,21.80
RDN,Radian Group Inc. Common Stock,NYQ,2.64,5.38,7.30,11.77,0.01,2.94B,2380490,19.13,13.71,14.21
